,index,PtxID,Group,MAE_Chunk,Chunk
595,7,Bm668184579LL501,NoReward,14.221345476668493,28
596,8,Bm668184579LL501,NoReward,13.410767687368525,30
597,9,Bm668184579LL501,NoReward,12.900600228521824,32
598,10,Bm668184579LL501,NoReward,13.585104648577623,34
599,11,Bm668184579LL501,NoReward,13.09041602652855,36
600,12,Bm668184579LL501,NoReward,13.640999641185664,38
601,13,Bm668184579LL501,NoReward,14.429433942099061,40
602,0,XK722874333VL212,NoReward,40.78663605109266,14
603,1,XK722874333VL212,NoReward,46.21438032875374,16
604,2,XK722874333VL212,NoReward,52.31565612486372,18
605,3,XK722874333VL212,NoReward,55.06500885097271,20
606,4,XK722874333VL212,NoReward,69.6488577226831,22
607,5,XK722874333VL212,NoReward,,24
608,6,XK722874333VL212,NoReward,,26
609,7,XK722874333VL212,NoReward,,28
610,8,XK722874333VL212,NoReward,,30
611,9,XK722874333VL212,NoReward,,32
612,10,XK722874333VL212,NoReward,,34
613,11,XK722874333VL212,NoReward,,36
614,12,XK722874333VL212,NoReward,,38
615,13,XK722874333VL212,NoReward,,40
616,0,WC247803994GF657,NoReward,26.46433097972466,14
617,1,WC247803994GF657,NoReward,29.85930017338138,16
618,2,WC247803994GF657,NoReward,28.993004617299313,18
619,3,WC247803994GF657,NoReward,28.975922719646128,20
620,4,WC247803994GF657,NoReward,27.045920255998784,22
621,5,WC247803994GF657,NoReward,25.012437941297613,24
622,6,WC247803994GF657,NoReward,27.561191490233405,26
623,7,WC247803994GF657,NoReward,28.713903491824887,28
624,8,WC247803994GF657,NoReward,27.829237296321644,30
625,9,WC247803994GF657,NoReward,29.76132920674512,32
626,10,WC247803994GF657,NoReward,26.70459545184472,34
627,11,WC247803994GF657,NoReward,22.71336544356612,36
628,12,WC247803994GF657,NoReward,23.428593742984162,38
629,13,WC247803994GF657,NoReward,22.633731536856374,40
630,0,An789876880Um49,NoReward,,14
631,1,An789876880Um49,NoReward,,16
632,2,An789876880Um49,NoReward,,18
633,3,An789876880Um49,NoReward,,20
634,4,An789876880Um49,NoReward,,22
635,5,An789876880Um49,NoReward,,24
636,6,An789876880Um49,NoReward,,26
637,7,An789876880Um49,NoReward,,28
638,8,An789876880Um49,NoReward,,30
639,9,An789876880Um49,NoReward,,32
640,10,An789876880Um49,NoReward,,34
641,11,An789876880Um49,NoReward,,36
642,12,An789876880Um49,NoReward,,38
643,13,An789876880Um49,NoReward,,40
644,0,FG422120767Wz20,NoReward,,14
645,1,FG422120767Wz20,NoReward,,16
646,2,FG422120767Wz20,NoReward,,18
647,3,FG422120767Wz20,NoReward,,20
648,4,FG422120767Wz20,NoReward,,22
649,5,FG422120767Wz20,NoReward,,24
650,6,FG422120767Wz20,NoReward,,26
651,7,FG422120767Wz20,NoReward,,28
652,8,FG422120767Wz20,NoReward,,30
653,9,FG422120767Wz20,NoReward,,32
654,10,FG422120767Wz20,NoReward,,34
655,11,FG422120767Wz20,NoReward,,36
656,12,FG422120767Wz20,NoReward,,38
657,13,FG422120767Wz20,NoReward,,40
658,0,pO78426161Oe999,Reward,49.24104093311696,14
659,1,pO78426161Oe999,Reward,53.21415313755927,16
660,2,pO78426161Oe999,Reward,56.30238781328419,18
661,3,pO78426161Oe999,Reward,72.11112775510531,20
662,4,pO78426161Oe999,Reward,79.62131343283583,22
663,5,pO78426161Oe999,Reward,,24
664,6,pO78426161Oe999,Reward,,26
665,7,pO78426161Oe999,Reward,,28
666,8,pO78426161Oe999,Reward,,30
667,9,pO78426161Oe999,Reward,,32
668,10,pO78426161Oe999,Reward,,34
669,11,pO78426161Oe999,Reward,,36
670,12,pO78426161Oe999,Reward,,38
671,13,pO78426161Oe999,Reward,,40
672,0,MF,NoReward,,14
673,1,MF,NoReward,,16
674,2,MF,NoReward,,18
675,3,MF,NoReward,,20
676,4,MF,NoReward,,22
677,5,MF,NoReward,,24
678,6,MF,NoReward,,26
679,7,MF,NoReward,,28
680,8,MF,NoReward,,30
681,9,MF,NoReward,,32
682,10,MF,NoReward,,34
683,11,MF,NoReward,,36
684,12,MF,NoReward,,38
685,13,MF,NoReward,,40
686,0,OX377652340OK228,NoReward,36.79370821287995,14
687,1,OX377652340OK228,NoReward,36.380633844619986,16
688,2,OX377652340OK228,NoReward,37.786588862453534,18
689,3,OX377652340OK228,NoReward,37.37644264284216,20
690,4,OX377652340OK228,NoReward,,22
691,5,OX377652340OK228,NoReward,,24
692,6,OX377652340OK228,NoReward,,26
693,7,OX377652340OK228,NoReward,,28
694,8,OX377652340OK228,NoReward,,30
695,9,OX377652340OK228,NoReward,,32
696,10,OX377652340OK228,NoReward,,34
697,11,OX377652340OK228,NoReward,,36
698,12,OX377652340OK228,NoReward,,38
699,13,OX377652340OK228,NoReward,,40
700,0,Ac951310807Ba369,NoReward,39.44049626102228,14
701,1,Ac951310807Ba369,NoReward,39.74239382325321,16
702,2,Ac951310807Ba369,NoReward,43.06877562194334,18
703,3,Ac951310807Ba369,NoReward,44.06865867086215,20
704,4,Ac951310807Ba369,NoReward,40.40673363518837,22
705,5,Ac951310807Ba369,NoReward,43.03846740221726,24
706,6,Ac951310807Ba369,NoReward,47.428251932604,26
707,7,Ac951310807Ba369,NoReward,46.72773939665581,28
708,8,Ac951310807Ba369,NoReward,46.92874089056382,30
709,9,Ac951310807Ba369,NoReward,50.36095598148622,32
710,10,Ac951310807Ba369,NoReward,55.20535443452491,34
711,11,Ac951310807Ba369,NoReward,55.404194103033184,36
712,12,Ac951310807Ba369,NoReward,57.653774057175625,38
713,13,Ac951310807Ba369,NoReward,62.14682908870269,40
714,0,bD315366166XI81,Reward,27.561898675908118,14
715,1,bD315366166XI81,Reward,29.19416737354576,16
716,2,bD315366166XI81,Reward,24.906196639447796,18
717,3,bD315366166XI81,Reward,24.102825797190153,20
718,4,bD315366166XI81,Reward,31.49512914369989,22
719,5,bD315366166XI81,Reward,30.185694392780988,24
720,6,bD315366166XI81,Reward,29.527545351131778,26
721,7,bD315366166XI81,Reward,30.059853312893416,28
722,8,bD315366166XI81,Reward,29.165755245497415,30
723,9,bD315366166XI81,Reward,21.605853758488895,32
724,10,bD315366166XI81,Reward,21.077834603418772,34
725,11,bD315366166XI81,Reward,22.415469661116838,36
726,12,bD315366166XI81,Reward,21.82723428024724,38
727,13,bD315366166XI81,Reward,20.274530832433992,40
728,0,pP523446637hf604,NoReward,,14
729,1,pP523446637hf604,NoReward,,16
730,2,pP523446637hf604,NoReward,,18
731,3,pP523446637hf604,NoReward,,20
732,4,pP523446637hf604,NoReward,,22
733,5,pP523446637hf604,NoReward,,24
734,6,pP523446637hf604,NoReward,,26
735,7,pP523446637hf604,NoReward,,28
736,8,pP523446637hf604,NoReward,,30
737,9,pP523446637hf604,NoReward,,32
738,10,pP523446637hf604,NoReward,,34
739,11,pP523446637hf604,NoReward,,36
740,12,pP523446637hf604,NoReward,,38
741,13,pP523446637hf604,NoReward,,40
742,0,pZ714559851sE51,NoReward,33.15280849536597,14
743,1,pZ714559851sE51,NoReward,33.03783848617171,16
744,2,pZ714559851sE51,NoReward,30.35981339132971,18
745,3,pZ714559851sE51,NoReward,28.87551219380929,20
746,4,pZ714559851sE51,NoReward,27.111979716409678,22
747,5,pZ714559851sE51,NoReward,19.509378749148073,24
748,6,pZ714559851sE51,NoReward,20.30012153401889,26
749,7,pZ714559851sE51,NoReward,20.466218947136348,28
750,8,pZ714559851sE51,NoReward,20.632042493173206,30
751,9,pZ714559851sE51,NoReward,20.42041100123433,32
752,10,pZ714559851sE51,NoReward,20.406317320200294,34
753,11,pZ714559851sE51,NoReward,19.368670843181224,36
754,12,pZ714559851sE51,NoReward,18.84676898221849,38
755,13,pZ714559851sE51,NoReward,17.81406813870462,40
756,0,Md97898857lx914,NoReward,32.67576353591161,14
757,1,Md97898857lx914,NoReward,39.850906906077356,16
758,2,Md97898857lx914,NoReward,57.12581325966851,18
759,3,Md97898857lx914,NoReward,,20
760,4,Md97898857lx914,NoReward,,22
761,5,Md97898857lx914,NoReward,,24
762,6,Md97898857lx914,NoReward,,26
763,7,Md97898857lx914,NoReward,,28
764,8,Md97898857lx914,NoReward,,30
765,9,Md97898857lx914,NoReward,,32
766,10,Md97898857lx914,NoReward,,34
767,11,Md97898857lx914,NoReward,,36
768,12,Md97898857lx914,NoReward,,38
769,13,Md97898857lx914,NoReward,,40
770,0,EE288981452fb406,NoReward,54.25666665996988,14
771,1,EE288981452fb406,NoReward,,16
772,2,EE288981452fb406,NoReward,,18
773,3,EE288981452fb406,NoReward,,20
774,4,EE288981452fb406,NoReward,,22
775,5,EE288981452fb406,NoReward,,24
776,6,EE288981452fb406,NoReward,,26
777,7,EE288981452fb406,NoReward,,28
778,8,EE288981452fb406,NoReward,,30
779,9,EE288981452fb406,NoReward,,32
780,10,EE288981452fb406,NoReward,,34
781,11,EE288981452fb406,NoReward,,36
782,12,EE288981452fb406,NoReward,,38
783,13,EE288981452fb406,NoReward,,40
784,0,lA76851177un272,NoReward,,14
785,1,lA76851177un272,NoReward,,16
786,2,lA76851177un272,NoReward,,18
787,3,lA76851177un272,NoReward,,20
788,4,lA76851177un272,NoReward,,22
789,5,lA76851177un272,NoReward,,24
790,6,lA76851177un272,NoReward,,26
791,7,lA76851177un272,NoReward,,28
792,8,lA76851177un272,NoReward,,30
793,9,lA76851177un272,NoReward,,32
794,10,lA76851177un272,NoReward,,34
795,11,lA76851177un272,NoReward,,36
796,12,lA76851177un272,NoReward,,38
797,13,lA76851177un272,NoReward,,40
798,0,mt742485739Iw200,Reward,25.74353696156989,14
799,1,mt742485739Iw200,Reward,26.803466982425327,16
800,2,mt742485739Iw200,Reward,25.69539662422402,18
801,3,mt742485739Iw200,Reward,25.327194780773972,20
802,4,mt742485739Iw200,Reward,26.201620260875927,22
803,5,mt742485739Iw200,Reward,25.396492110058176,24
804,6,mt742485739Iw200,Reward,25.725217652360566,26
805,7,mt742485739Iw200,Reward,28.00970703791787,28
806,8,mt742485739Iw200,Reward,29.386623149049313,30
807,9,mt742485739Iw200,Reward,29.724998280462966,32
808,10,mt742485739Iw200,Reward,30.383052866098325,34
809,11,mt742485739Iw200,Reward,31.16032391582209,36
810,12,mt742485739Iw200,Reward,28.905863658239117,38
811,13,mt742485739Iw200,Reward,25.296041237910554,40
